SAVED_AT,EPOCH,OBJECT_NAME,OBJECT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
2026-07-04T17:00:11.724870,2026-07-03T23:17:18.238272,SWIFT,2004-047A,15.70001988,8.442e-05,20.5532,55.2849,198.0974,161.9442,0.0,U,28485.0,999.0,18950.0,0.00054591173,0.00070231,0.0
2026-07-05T01:52:37.972393,2026-07-04T06:54:45.877536,SWIFT,2004-047A,15.70048873,7.991e-05,20.5529,52.8275,197.6102,162.4317,0.0,U,28485.0,999.0,18955.0,0.0005857037,0.00075476,0.0
2026-07-05T10:57:11.166271,2026-07-04T22:09:38.030976,SWIFT,2004-047A,15.70170079,8.568e-05,20.5532,47.9146,222.0058,138.0322,0.0,U,28485.0,999.0,18965.0,0.00067942827,0.00087977,0.0
2026-07-06T12:34:47.740156,2026-07-05T21:01:49.991520,SWIFT,2004-047A,15.70288873,8.953e-05,20.5532,40.5435,245.4092,114.6261,0.0,U,28485.0,999.0,18980.0,0.00051887315,0.00067578,0.0
2026-07-09T07:08:23.000141,2026-07-08T19:09:21.224448,SWIFT,2004-047A,15.70581196,0.00012562,20.5535,17.9347,300.6623,59.37,0.0,U,28485.0,999.0,19026.0,0.0003816285,0.00050461,0.0
2026-07-09T19:55:11.320490,2026-07-09T04:18:05.961888,SWIFT,2004-047A,15.70638079,0.00011442,20.5531,14.9835,306.1648,53.8692,0.0,U,28485.0,999.0,19032.0,0.00039693578,0.00052583,0.0
2026-07-10T03:53:48.740358,2026-07-09T18:01:11.450208,SWIFT,2004-047A,15.70696899,0.0001369,20.5534,10.5603,310.0565,49.9761,0.0,U,28485.0,999.0,19041.0,0.00041301,0.00054825,0.0
2026-07-10T14:41:42.206157,2026-07-10T04:41:21.162048,SWIFT,2004-047A,15.70741555,0.00013321,20.553,7.1183,321.9064,38.1288,0.0,U,28485.0,999.0,19048.0,0.00038671991,0.0005147,0.0
2026-07-11T03:20:06.841375,2026-07-10T18:24:23.572800,SWIFT,2004-047A,15.70792023,0.0001527,20.5533,2.6947,325.6509,34.3839,0.0,U,28485.0,999.0,19057.0,0.00038516,0.00051374,0.0
2026-07-11T13:40:20.877241,2026-07-11T05:04:30.983808,SWIFT,2004-047A,15.70831677,0.0001525,20.5532,359.2544,334.4494,25.5877,0.0,U,28485.0,999.0,19064.0,0.0003351,0.0004486,0.0
2026-07-12T03:31:48.343278,2026-07-11T18:47:30.602976,SWIFT,2004-047A,15.70879097,0.00015986,20.5531,354.8298,342.8184,17.2208,0.0,U,28485.0,999.0,19073.0,0.00031336711,0.00042082,0.0
2026-07-12T08:26:17.332378,2026-07-12T03:56:09.508416,SWIFT,2004-047A,15.70909777,0.0001681,20.5532,351.8795,347.8899,12.1507,0.0,U,28485.0,999.0,19079.0,0.00031133,0.00041867,0.0
